id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1572888265681965059,https://twitter.com/kamandewan/status/1572888265681965059,Thu Sep 22 09:59:20 +0000 2022,2022-09-22 09:59:20+00:00,kamandewan,पापी दुनियामा बेलाबेला सत्कर्म सत्सङ जुर्छ ।,quote,,,,,0,,,,ne,,,0,1572838807254470659,harpraharnews,1002066670704316417,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2821042770,Sat Sep 20 05:00:13 +0000 2014,False,यथास्थिति भन्दा उल्टो धार,2876,1960,1742,0,Kathmandu ,याक्खालेन,6947,,,False
1572888507299024899,https://twitter.com/PawanCh62807324/status/1572888507299024899,Thu Sep 22 10:00:17 +0000 2022,2022-09-22 10:00:17+00:00,PawanCh62807324,"@GedamPremkumar संविधान विरोधी देशद्रोही
संविधान बचाने चलो नागपुर",retweet,,,,,2,,,,ne,,,0,1572802724206620674,RangareM,1267393411847458817,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1204765187699433472,Wed Dec 11 14:09:48 +0000 2019,False,Pawan Choudhary,3856,261,903,0,"Agra, India",Pawan Choudhary,3874,,,False
1572888667324289032,https://twitter.com/pkrai6925/status/1572888667324289032,Thu Sep 22 10:00:55 +0000 2022,2022-09-22 10:00:55+00:00,pkrai6925,सहमत,quote,,,,,0,,,,ne,,,0,1572812745866563584,AuthorAtul,509710618,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",614202338,Thu Jun 21 10:34:59 +0000 2012,False,,34553,38,266,1,,pravin kumar rai,449,,,False
1572888868663496708,https://twitter.com/DeepakK27340805/status/1572888868663496708,Thu Sep 22 10:01:43 +0000 2022,2022-09-22 10:01:43+00:00,DeepakK27340805,सहमत,retweet,,,,,3,,,,ne,,,0,1572885162160836608,RjkmBalvinder,1521516778979205120,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1423325523984338945,Thu Aug 05 16:50:56 +0000 2021,False,"Engineering Student, Socialist,Humble and Struggler Person",15126,163,196,0,"Varanasi, India",Deepak Kumar,11809,,,False
1572888888758390787,https://twitter.com/ChhabilalPanga3/status/1572888888758390787,Thu Sep 22 10:01:48 +0000 2022,2022-09-22 10:01:48+00:00,ChhabilalPanga3,मिडियाले आफ्नो साहु अनुकुल भए चमत्कार नत्र बलात्कार लेखी दिन्छन केहि झोले बाटोमा उफ्रिन सधैं तयार हुन्छन तिनको खेति त्यहि हो यसैले यहा कसले के भन्यो मतलब नगरि देश हित सोच्ने नेता चाहिएको छ देश बचे न संविधान पनि बच्छ व्यवस्था पनि रहन्छ ।,retweet,,,,,17,,,,ne,,,0,1572565219981012992,rock_7up,3310813746,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1066305440420675584,Sat Nov 24 12:20:02 +0000 2018,False,Die hard ❤️❤️is my hobby so results may be dark horse.😍😍😍💐💐,17480,441,879,0,Dubai,Chhabilal Pangali,1679,,,False
1572889100843352064,https://twitter.com/Satwashila10/status/1572889100843352064,Thu Sep 22 10:02:39 +0000 2022,2022-09-22 10:02:39+00:00,Satwashila10,"संविधान विरोधी संघी देशद्रोही
#संविधान_विरोधी_RSS_को_घेरेंगे",retweet,,संविधान_विरोधी_RSS_को_घेरेंगे,,,41,,,,ne,,,0,1572763337557155840,BMoolniwasi,1182344480608751618,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1459205571530223619,Fri Nov 12 17:06:03 +0000 2021,False,भारत मुक्ती मोर्चा महिला संघ पुणे जिल्हा अध्यक्ष,2049,178,449,0,,Satwashila Gaikwad,2090,,,False
1572889415856590848,https://twitter.com/smskiran66/status/1572889415856590848,Thu Sep 22 10:03:54 +0000 2022,2022-09-22 10:03:54+00:00,smskiran66,@Bipendraa जे गरेको छ राम्रो काम गरेको छ ।। तिमेरु जस्ता झोले हरुले भन्दा हुन्छ ।। तिमिहरु देश बेचुवा को झोले हरुलाई गाउँ निकलनु पर्छ बरु ।।।,reply,,,,https://twitter.com/i/web/status/1572889415856590848,0,Bipendraa,1572252108635906049,74103624,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",818514378605531136,Mon Jan 09 17:46:49 +0000 2017,False,kiran,13,30,95,0,jhapa nepal,kiransms,30,,,False
1572889872016494593,https://twitter.com/smskiran66/status/1572889872016494593,Thu Sep 22 10:05:43 +0000 2022,2022-09-22 10:05:43+00:00,smskiran66,@Annapurna_Post जा  तिमी हरु देश बेचुवा हरु ।। अस्ति भारत गयर बेचेर आको होला ।। पापी,reply,,,,,0,Annapurna_Post,1572547104463278083,1568130360,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",818514378605531136,Mon Jan 09 17:46:49 +0000 2017,False,kiran,13,30,95,0,jhapa nepal,kiransms,31,,,False
1572889875493564419,https://twitter.com/FanboyPendu/status/1572889875493564419,Thu Sep 22 10:05:43 +0000 2022,2022-09-22 10:05:43+00:00,FanboyPendu,@watersagar पढेलेखेको इज्जत नगर्ने मूर्ख को देशमा सागर दाईले केही गर्नुहुन्छ की भन्ने आशा छ। सबै चोरहरुको मण्डली हो नेपाल,reply,,,,,0,watersagar,1572799846389411840,2189612089,ne,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1546778831461068802,Tue Jul 12 08:49:55 +0000 2022,False,Iam pendu fan. Even though he scores only penalties. Me and other fanboys hype him up,463,4,45,0,,pendu fanboy,64,,,False
1572889950588375041,https://twitter.com/GovindSaaleek/status/1572889950588375041,Thu Sep 22 10:06:01 +0000 2022,2022-09-22 10:06:01+00:00,GovindSaaleek,"सानो कुरालाई बढाइचढाइ गरेर महाभारत बनाउँने सडकछाप !
काङ्ग्रेस कम्युनिस्टका भक्त झोले मानसिक रोगी दासी गुलामहरु !जय हो 😄😄",retweet,,,,,8,,,,ne,,,0,1572875356696354816,AnilRam29482186,1280294733701505024,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3237101262,Fri Jun 05 17:12:51 +0000 2015,False,🇳🇵🇳🇵साँझ बिहानको पेट पाल्ने जोहो गर्न हातमा ठेला उठाउने सामान्य मजदुर बायो लेख्ने औकात छैन 🇳🇵🇳🇵,353469,2321,1139,1,,🇳🇵SaaLeeK🇳🇵,218142,,,False
